vuelo_id,aerolinea,ciudad_origen,ciudad_destino,pais_origen,tipo_ruta,clase_servicio,mes,dia_semana,duracion_vuelo_min,distancia_km,retraso_salida_min,retraso_llegada_min,cancelado,causa_retraso,precio_boleto_usd,ocupacion_pct,num_pasajeros,satisfaccion_cliente,puntualidad_historica_pct
VL11178,Avianca,Ciudad Mx,Miami,México,Internacional,Económica,7,Viernes,186,2100,4,5,False,,211.71,77.7,140,2.5,73.2
VL12119,Avianca,Lima,Santiago,Perú,Internacional,Económica,1,Jueves,175,2400,0,9,False,,308.53,66.5,120,,71.6
VL12681,Aeroméxico,Bogotá,Quito,Colombia,Internacional,Ejecutiva,9,Miércoles,93,1000,29,17,False,Operacional,375.98,81.9,180,3.7,74.7
VL11611,LATAM,Cancún,Bogotá,México,Internacional,Económica,6,Sábado,287,3500,0,0,False,,338.35,77.7,140,4.2,77.5
VL10264,Volaris,Lima,Santiago,Perú,Internacional,Ejecutiva,6,Sábado,200,2400,0,6,False,,402.55,95.9,211,3.5,70.3
VL11065,LATAM,Buenos Aires,Lima,Argentina,Internacional,Económica,2,Sábado,232,3000,0,0,False,,224.18,58.7,106,3.7,76.2
VL11506,Volaris,Santiago,São Paulo,Chile,Internacional,Económica,2,Jueves,219,2700,0,6,False,,194.7,77.7,140,4.5,66.6
VL10674,Copa Airlines,Ciudad Mx,Bogotá,México,Internacional,Económica,8,Jueves,262,3200,0,0,False,,290.63,78.3,141,4.1,83.2
VL12052,LATAM,Ciudad Mx,Cancún,México,Doméstica,Primera,4,Sábado,133,1600,32,27,False,Aeropuerto,544.42,90.9,273,4.8,77.1
VL12744,LATAM,Cancún,Bogotá,México,Internacional,Económica,8,Sábado,284,3500,271,245,False,Aeropuerto,442.23,82.1,148,1.0,80.5
VL11408,Avianca,Santiago,São Paulo,Chile,Internacional,Económica,4,Viernes,225,2700,36,22,False,Operacional,387.49,86.1,155,3.8,71.0
VL12965,Sky Airline,Buenos Aires,Lima,Argentina,Internacional,Económica,9,Jueves,243,3000,0,4,False,,342.61,98.7,178,3.0,75.3
VL10158,Volaris,Santiago,Lima,Chile,Internacional,Económica,12,Sábado,188,2400,3,0,False,,205.7,93.9,169,4.9,68.0
VL10917,Avianca,Guadalajara,Ciudad Mx,México,Doméstica,Ejecutiva,4,Martes,61,550,19,13,False,Tripulación,168.67,67.8,149,4.5,72.8
VL11039,Aeroméxico,Bogotá,Miami,Colombia,Internacional,Económica,3,Lunes,286,3800,47,57,False,Mecánico,510.15,85.7,154,2.4,73.9
VL11960,Aeroméxico,Ciudad Mx,Cancún,México,Doméstica,Ejecutiva,11,Miércoles,135,1600,2,0,False,,447.45,88.7,195,4.4,75.6
VL10015,Avianca,Santiago,Lima,Chile,Internacional,Ejecutiva,3,Lunes,225,2400,0,4,False,,473.14,67.3,148,3.2,69.3
VL10950,LATAM,Santiago,São Paulo,Chile,Internacional,Ejecutiva,9,Viernes,221,2700,32,37,False,Tripulación,522.04,82.5,182,3.3,78.7
VL10196,Viva Air,Buenos Aires,Lima,Argentina,Internacional,Económica,3,Sábado,229,3000,0,9,False,,220.27,66.7,120,2.3,63.7
VL11546,LATAM,Bogotá,Quito,Colombia,Internacional,Ejecutiva,4,Domingo,94,1000,0,0,False,,147.03,68.0,150,3.7,79.6
VL11701,LATAM,Lima,Buenos Aires,Perú,Internacional,Ejecutiva,2,Jueves,241,3100,0,3,False,,562.05,88.6,195,4.0,77.5
VL12533,Volaris,Bogotá,Medellín,Colombia,Doméstica,Ejecutiva,2,Martes,46,580,0,2,False,,90.13,69.6,153,,70.2
VL12482,Aeroméxico,Guadalajara,Ciudad Mx,México,Doméstica,Ejecutiva,12,Viernes,55,550,33,38,False,Aeropuerto,142.49,87.2,192,4.1,74.3
VL12515,Volaris,Guadalajara,Ciudad Mx,México,Doméstica,Económica,1,Viernes,57,550,27,30,False,Operacional,94.28,85.7,154,2.4,68.4
VL10668,LATAM,Santiago,Lima,Chile,Internacional,Económica,4,Sábado,169,2400,0,1,False,,305.9,70.7,127,3.7,80.1
VL11723,Aeroméxico,Ciudad Mx,Cancún,México,Doméstica,Ejecutiva,8,Domingo,130,1600,51,64,False,Aeropuerto,395.89,79.8,176,3.3,76.3
VL12007,Sky Airline,Ciudad Mx,Miami,México,Internacional,Económica,2,Domingo,180,2100,0,0,False,,192.66,70.9,128,5.0,72.7
VL10576,LATAM,Ciudad Mx,Cancún,México,Doméstica,Ejecutiva,5,Sábado,151,1600,14,18,False,,354.95,92.4,203,2.4,78.4
VL11782,Aeroméxico,Lima,Buenos Aires,Perú,Internacional,Ejecutiva,11,Domingo,268,3100,25,21,False,Clima,,93.6,206,2.3,75.5
