antiguedad_meses,plan,horas_vistas_mes_pasado,perfiles_activos,genero_favorito,dispositivo_principal,usa_descargas_offline,dias_desde_ultima_sesion,cambios_plan_ultimo_anio,churn_30d,horas_proximo_mes
27,estandar,37.0,2,documental,pc,False,3,1,0,34.0
2,basico,6.9,1,anime,celular,True,6,0,1,3.3
40,premium,45.8,4,comedia,smart_tv,True,8,0,0,33.8
27,estandar,23.2,1,accion,celular,True,0,0,0,30.0
46,estandar_con_anuncios,17.7,1,reality,smart_tv,False,1,0,0,16.0
37,premium,9.7,2,accion,pc,False,3,3,0,12.5
47,estandar,22.0,2,kids,celular,False,6,0,0,20.3
28,estandar,59.3,1,accion,smart_tv,True,3,3,0,49.4
1,estandar_con_anuncios,30.5,1,drama,smart_tv,False,13,0,0,37.7
8,basico,45.5,1,kids,pc,True,5,0,0,44.9
28,basico,48.1,2,drama,smart_tv,False,1,2,0,47.5
24,premium,57.1,5,drama,consola,True,6,2,0,43.9
47,estandar,32.1,2,documental,pc,True,4,0,0,29.5
25,premium,31.5,4,kids,celular,True,2,1,0,33.9
51,basico,46.5,1,reality,smart_tv,True,0,2,0,35.6
12,estandar_con_anuncios,20.0,2,comedia,celular,False,0,1,0,18.1
23,estandar,74.3,2,drama,tablet,False,0,0,0,68.7
45,estandar_con_anuncios,16.3,1,anime,smart_tv,False,2,0,0,16.5
8,premium,75.3,3,drama,smart_tv,True,4,0,0,95.4
19,estandar,34.2,3,drama,smart_tv,False,7,0,0,32.4
45,estandar,58.8,2,comedia,smart_tv,True,0,0,0,51.5
35,basico,53.4,1,accion,celular,False,0,0,0,79.8
46,premium,33.5,2,reality,celular,False,1,0,0,30.9
31,premium,40.3,3,kids,celular,True,5,0,0,38.9
51,estandar,23.8,3,kids,smart_tv,False,0,0,0,22.3
52,estandar_con_anuncios,3.9,2,drama,smart_tv,False,5,0,1,6.4
58,basico,39.8,2,comedia,smart_tv,True,5,0,0,40.4
8,estandar_con_anuncios,15.7,2,accion,consola,False,6,0,0,18.3
35,estandar_con_anuncios,21.7,2,drama,celular,False,1,1,0,23.3
7,estandar,43.9,1,comedia,smart_tv,False,2,0,0,52.4
14,estandar,8.3,3,comedia,pc,False,3,0,0,9.9
18,premium,65.8,1,drama,smart_tv,False,25,0,1,3.7
39,basico,23.0,1,accion,smart_tv,False,1,0,0,24.6
26,basico,35.2,2,kids,smart_tv,False,3,0,0,42.2
52,basico,38.6,1,drama,tablet,True,10,0,0,30.9
18,estandar_con_anuncios,40.1,1,accion,celular,False,2,0,0,58.1
37,estandar_con_anuncios,19.5,1,kids,celular,False,2,1,1,4.1
46,basico,0.0,2,kids,smart_tv,False,1,0,0,0.0
58,estandar_con_anuncios,23.7,1,reality,smart_tv,False,3,0,0,18.5
15,estandar,39.3,3,accion,celular,False,1,0,0,30.9
44,basico,13.2,1,reality,smart_tv,True,2,0,0,15.5
6,premium,47.7,5,comedia,consola,True,1,0,0,67.2
33,estandar,32.3,2,comedia,pc,False,6,1,0,29.0
25,basico,6.9,2,drama,smart_tv,True,2,0,0,7.3
57,premium,59.8,3,accion,celular,False,1,0,0,62.2
46,premium,40.4,5,comedia,tablet,True,3,0,0,47.7
55,basico,23.5,2,comedia,celular,True,2,0,0,32.9
51,estandar_con_anuncios,15.3,2,kids,celular,False,1,1,0,19.5
25,estandar,55.6,1,comedia,consola,False,0,0,1,3.2
44,estandar_con_anuncios,21.1,2,comedia,smart_tv,False,4,0,0,23.1
2,estandar_con_anuncios,19.4,2,drama,consola,False,8,0,0,21.6
33,estandar_con_anuncios,14.1,1,accion,smart_tv,False,0,1,0,14.0
3,estandar,42.2,3,comedia,celular,False,1,0,0,33.9
43,estandar,58.8,1,comedia,pc,False,3,2,0,50.3
58,estandar,49.6,3,comedia,celular,True,0,3,0,59.9
41,estandar,48.7,1,kids,celular,False,0,1,0,59.7
50,basico,38.3,1,anime,celular,True,0,0,0,36.9
14,estandar,15.5,3,accion,smart_tv,True,0,1,0,16.2
59,estandar_con_anuncios,9.8,2,documental,smart_tv,False,0,0,0,11.9
33,estandar_con_anuncios,17.7,2,reality,smart_tv,False,1,2,0,12.3
40,estandar,27.4,2,anime,celular,True,5,0,0,25.2
46,basico,12.9,1,documental,smart_tv,True,5,0,0,17.6
38,estandar,10.1,1,reality,smart_tv,False,2,0,0,10.6
19,estandar,16.4,2,reality,consola,False,6,1,1,1.9
37,estandar,34.2,1,kids,smart_tv,False,2,2,0,34.9
39,estandar,37.2,1,accion,smart_tv,True,0,0,0,44.0
51,estandar,27.4,1,drama,smart_tv,False,2,0,1,5.2
29,basico,28.6,1,drama,smart_tv,False,2,1,0,29.5
30,estandar_con_anuncios,14.0,2,accion,celular,False,2,1,0,13.1
30,basico,43.9,2,accion,smart_tv,True,3,1,0,30.9
7,estandar_con_anuncios,16.2,1,comedia,smart_tv,False,1,0,1,1.8
6,basico,35.9,2,accion,tablet,False,5,0,0,35.0
2,premium,48.2,1,accion,pc,False,4,1,0,48.0
40,estandar_con_anuncios,0.3,1,reality,celular,False,0,0,1,1.7
25,estandar_con_anuncios,18.7,2,drama,consola,False,8,0,0,15.3
52,estandar_con_anuncios,3.8,2,comedia,consola,False,1,0,0,2.8
42,estandar_con_anuncios,19.9,2,kids,smart_tv,False,6,0,0,17.4
9,estandar,24.6,1,reality,celular,False,2,1,0,28.4
6,estandar,41.2,3,anime,celular,True,0,0,0,42.9
22,estandar,16.7,2,reality,smart_tv,True,0,0,0,16.5
55,estandar,39.8,2,reality,smart_tv,False,11,0,0,32.4
3,basico,33.8,1,comedia,smart_tv,True,2,2,1,2.5
12,premium,59.6,4,comedia,celular,False,5,1,0,67.5
