monto,hora_del_dia,dispositivo,antiguedad_cuenta_dias,ubicacion_nueva,n_tx_ultimas_24h,n_tx_ultimos_7d,intentos_pin_fallidos_24h,categoria_comercio,dia_de_la_semana,monto_vs_promedio_cliente,es_fraude
1949.63,22,mobile_android,476,False,3,5,0,supermercado,dom,0.97,0
3954.93,11,mobile_ios,761,False,2,6,0,gastronomia,lun,1.16,0
1592.71,13,mobile_android,956,False,0,4,0,electronicos,jue,1.34,0
15867.28,11,mobile_android,435,False,0,2,0,viajes,vie,1.27,0
1372.02,9,web,1483,False,3,6,0,gastronomia,sab,0.45,0
1408.07,12,mobile_android,987,False,4,8,0,gastronomia,dom,1.47,0
18235.33,21,mobile_ios,158,False,2,4,0,supermercado,mar,0.79,0
7058.22,23,mobile_ios,299,False,3,6,0,transferencia_p2p,sab,1.37,0
861.48,12,web,2088,False,0,8,0,vestimenta,jue,1.21,0
3446.33,18,mobile_android,449,False,0,6,0,supermercado,sab,1.32,0
1803.07,10,mobile_ios,618,False,2,8,0,gastronomia,jue,1.16,0
1551.16,17,mobile_ios,794,False,1,6,0,transferencia_p2p,sab,1.29,0
11585.48,13,web,780,False,0,4,0,viajes,sab,0.59,0
609.9,12,mobile_ios,1711,False,0,2,0,gastronomia,sab,0.88,0
16337.79,12,mobile_ios,600,False,1,7,0,vestimenta,mar,0.38,0
5456.4,9,mobile_android,386,False,0,2,0,supermercado,mie,0.77,0
740.41,18,mobile_ios,946,False,2,5,0,supermercado,dom,1.23,0
5543.18,9,mobile_ios,141,False,0,5,0,transferencia_p2p,mar,0.29,0
7124.02,20,mobile_android,844,False,3,9,0,supermercado,lun,0.12,0
4065.92,16,mobile_android,470,False,2,6,0,supermercado,lun,1.06,0
3072.6,19,mobile_ios,651,False,1,7,0,electronicos,vie,1.87,0
15116.76,13,mobile_ios,832,False,0,3,0,cripto,lun,1.28,0
2536.98,13,mobile_ios,1772,False,2,6,1,vestimenta,sab,0.9,0
28358.58,20,web,909,False,3,3,0,vestimenta,vie,0.6,0
10506.54,22,mobile_ios,1766,False,2,4,0,gastronomia,mie,0.8,0
8912.28,19,mobile_ios,566,False,0,8,0,electronicos,lun,0.65,0
