student_id,cohort_month,course,channel,university,career_area,city,age,work_status,prior_programming_experience,hours_available_week,payment_method,installments_plan,course_price_final,discount_pct,days_between_signup_and_start,lead_score_marketing,sales_rep,response_time_sales_hours,opened_welcome_email,attended_intro_webinar,first_class_attendance,platform_logins_first_week,assignments_submitted_week1,questions_to_tutor_week1,satisfaction_first_week,scholarship_requested,payment_failed_first_attempt,marketing_segment,newsletter_clicks_last_30d,preferred_class_day,device_type,browser,avatar_color,zodiac_sign,internal_random_code,last_digit_phone,flag_gestion_retencion,target_baja
TRAIN_00001,2025-02,IA Generativa,Google Ads,UADE,Economia,La Plata,21,Freelance,Avanzada,5.1,Tarjeta credito,4,186000,5,23,Bajo,SR10,9.1,1,0,1,11,4,2,8.8,0,0,Curioso,2,Jueves,Desktop,Chrome,Verde,Geminis,X5830,6,0,0
TRAIN_00002,2024-08,Python,Google Ads,Universidad Austral,Psicologia,CABA,21,Full-time,Ninguna,6.7,Tarjeta debito,2,223000,10,0,Medio,SR02,7.8,1,0,0,0,1,2,,0,1,Career switcher,1,Lunes,Desktop,Chrome,Naranja,Geminis,X3783,0,0,1
TRAIN_00003,2025-04,Python,Evento,UBA,Cs Datos,GBA Norte,22,No trabaja,Basica,13.6,Tarjeta credito,6,161000,30,10,Bajo,SR10,0.7,1,0,1,9,4,1,8.4,0,0,Desempleado activo,3,Jueves,Mobile,Safari,Azul,Geminis,X2157,9,0,0
TRAIN_00004,2025-02,IA Generativa,Instagram Ads,UBA,Administracion,CABA,26,Freelance,Basica,5.8,Transferencia,2,160000,25,6,Medio,SR10,12.9,1,0,1,5,4,3,,0,0,Curioso,4,Martes,Desktop,Chrome,Azul,Virgo,X4102,7,0,0
TRAIN_00005,2025-03,Web Dev,Google Ads,UADE,Administracion,Cordoba,18,Full-time,Basica,9.0,Tarjeta credito,1,202000,20,29,Alto,SR01,15.4,1,0,1,12,4,4,0.0,0,0,Curioso,0,Martes,Mobile,Edge,Azul,Leo,X2452,4,0,0
TRAIN_00006,2024-09,IA Generativa,Universidad Partner,ITBA,Psicologia,CABA,25,No trabaja,Ninguna,11.0,Tarjeta credito,6,137000,25,10,Medio,SR12,11.2,1,1,1,8,4,4,9.7,0,0,Curioso,0,Viernes,Desktop,Chrome,Violeta,Escorpio,X5687,3,0,0
TRAIN_00007,2025-02,IA Generativa,Referido,UTN,Administracion,GBA Norte,32,Full-time,Basica,0.0,Tarjeta credito,3,165000,15,25,,SR06,10.4,1,1,1,7,4,2,8.7,0,0,Desempleado activo,0,Viernes,Desktop,Chrome,Verde,Aries,X6015,3,0,0
TRAIN_00008,2024-11,Web Dev,Instagram Ads,UBA,Psicologia,CABA,23,Busca trabajo,,5.7,Mercado Pago,4,202000,20,13,Medio,SR07,5.1,1,1,0,6,1,0,,0,1,Career switcher,0,Martes,Mobile,Chrome,Gris,Acuario,X6663,4,0,0
TRAIN_00009,2025-04,Web Dev,TikTok Ads,UBA,Diseno,GBA Norte,29,Part-time,Intermedia,0.8,,3,192000,25,16,Bajo,SR01,3.7,1,0,1,7,4,3,8.9,1,0,Desempleado activo,5,Viernes,Mobile,Safari,Rojo,Sagitario,X1999,6,0,0
TRAIN_00010,2024-08,Data Analytics,Instagram Ads,ITBA,Administracion,GBA Oeste,28,Busca trabajo,Intermedia,10.2,Mercado Pago,2,236000,5,17,Bajo,SR12,23.2,0,0,0,6,1,0,7.7,1,0,Curioso,5,Lunes,Mobile,Safari,Azul,Cancer,X9898,9,0,0
TRAIN_00011,2024-10,SQL,Google Ads,UBA,Otra,CABA,18,No trabaja,Basica,5.9,Mercado Pago,9,138000,5,19,Alto,SR11,29.8,1,1,1,9,4,2,9.4,0,0,Curioso,3,Viernes,Mobile,Safari,Naranja,Capricornio,X9715,8,0,0
TRAIN_00012,2025-02,Python,Web Organico,Universidad Austral,Economia,Cordoba,22,No trabaja,Ninguna,8.4,Efectivo,3,210000,15,18,Medio,SR03,42.4,1,1,1,9,4,4,8.9,0,1,Career switcher,5,Martes,Mobile,Chrome,Gris,Sagitario,X4670,0,0,0
TRAIN_00013,2025-04,Data Analytics,Instagram Ads,UBA,Ingenieria,Mendoza,27,No trabaja,Basica,6.0,Tarjeta credito,3,181000,30,0,Alto,SR12,1.7,0,0,0,7,2,3,,0,0,Upskiller,4,Miercoles,Mobile,Chrome,Violeta,Escorpio,X5421,8,1,1
TRAIN_00014,2025-02,Web Dev,Universidad Partner,Universidad Austral,Ingenieria,La Plata,23,Full-time,Ninguna,1.9,Tarjeta credito,3,211000,15,17,Alto,SR09,8.5,1,1,0,7,1,2,8.9,0,1,Curioso,1,Miercoles,Desktop,Chrome,Naranja,Escorpio,X4020,6,0,0
TRAIN_00015,2025-02,Python,Instagram Ads,Otra,Administracion,Mendoza,25,No trabaja,Ninguna,11.8,Tarjeta debito,12,179000,30,18,Alto,SR12,15.4,1,0,1,13,4,4,,1,1,Upskiller,4,Jueves,Mobile,Chrome,Azul,Escorpio,X9025,4,0,0
TRAIN_00016,2024-09,Data Analytics,Web Organico,Otra,Ingenieria,Rosario,23,Full-time,Ninguna,0.0,Mercado Pago,6,174000,30,14,Bajo,SR01,0.3,1,0,0,0,2,0,7.2,1,0,Upskiller,3,Martes,Mobile,Otro,Naranja,Acuario,X7876,1,0,1
TRAIN_00017,2024-09,SQL,Evento,UADE,Economia,Cordoba,23,Part-time,Basica,9.3,Tarjeta credito,4,170000,15,9,Medio,SR10,13.8,1,1,1,9,4,1,10.0,0,1,Explorer,6,Jueves,Mobile,Safari,Violeta,Virgo,X2816,8,0,0
TRAIN_00018,2025-03,Machine Learning,TikTok Ads,ITBA,Ingenieria,CABA,23,Full-time,Ninguna,0.0,Tarjeta credito,6,198000,40,11,Medio,SR06,15.3,0,1,1,7,3,4,,0,0,Explorer,2,Lunes,Mobile,Chrome,Azul,Capricornio,X5906,0,0,0
TRAIN_00019,2025-02,Machine Learning,Referido,UTN,Cs Datos,Cordoba,23,No trabaja,,14.6,Transferencia,3,116000,10,9,Alto,SR04,,1,0,1,8,4,3,9.7,0,0,Upskiller,5,Viernes,Desktop,Chrome,Naranja,Aries,X4412,9,0,0
TRAIN_00020,2024-08,SQL,Referido,UADE,Administracion,Otra,31,Full-time,Intermedia,,Efectivo,4,168000,20,25,Medio,SR01,35.7,1,1,1,7,4,4,8.0,0,1,Upskiller,2,Miercoles,Mobile,Chrome,Verde,Escorpio,X2486,2,0,0
TRAIN_00021,2025-02,Python,Google Ads,UBA,Psicologia,GBA Oeste,26,Full-time,Ninguna,4.3,Tarjeta debito,2,153000,30,27,Medio,SR01,11.9,1,0,0,9,4,4,10.0,0,0,Explorer,3,Lunes,Desktop,Chrome,Azul,Libra,X7673,8,0,0
TRAIN_00022,2024-10,SQL,Universidad Partner,UBA,Administracion,Mendoza,25,Part-time,Basica,4.8,Transferencia,6,145000,25,10,Bajo,SR01,2.6,1,1,0,3,3,2,6.3,0,0,Curioso,0,Martes,Desktop,Chrome,Azul,Aries,X1617,9,0,0
TRAIN_00023,2024-11,IA Generativa,Instagram Ads,UBA,Cs Datos,Cordoba,18,Part-time,Basica,6.8,Mercado Pago,6,191000,10,13,Medio,SR08,17.9,1,0,0,6,3,2,,0,0,Career switcher,4,Miercoles,Mobile,Otro,Violeta,Cancer,X8714,9,1,1
TRAIN_00024,2025-04,Data Analytics,TikTok Ads,UBA,Ingenieria,Rosario,19,No trabaja,Ninguna,11.8,Transferencia,1,215000,20,18,Medio,SR06,12.2,0,1,1,6,4,1,7.9,0,0,Explorer,1,Sabado,Desktop,Chrome,Naranja,Capricornio,X9750,6,0,0
TRAIN_00025,2024-09,Web Dev,Google Ads,Otra,Administracion,GBA Oeste,22,Part-time,Intermedia,5.8,Tarjeta credito,2,161000,30,8,Medio,SR09,2.1,1,0,1,9,4,2,8.2,0,0,Upskiller,0,Martes,Mobile,Chrome,Azul,Aries,X8553,1,0,0
TRAIN_00026,2025-02,SQL,Instagram Ads,UTN,Economia,Otra,26,No trabaja,,11.5,Transferencia,2,123000,45,19,Medio,SR05,17.2,1,0,1,12,4,3,6.6,0,0,Explorer,4,Viernes,Desktop,Chrome,Rojo,Libra,X6554,8,0,0
TRAIN_00027,2025-05,Python,Web Organico,UBA,Economia,CABA,22,Part-time,Ninguna,7.5,Tarjeta debito,3,227000,10,11,Medio,SR04,1.6,0,0,1,4,4,1,7.4,0,0,Curioso,3,Sabado,Mobile,Chrome,Violeta,Sagitario,X2856,7,0,0
TRAIN_00028,2025-05,Python,Instagram Ads,UBA,Cs Datos,GBA Sur,25,Part-time,,8.1,Tarjeta debito,12,226000,0,12,Bajo,SR08,6.2,1,0,1,6,3,1,7.8,0,0,Upskiller,3,Jueves,Mobile,Otro,Gris,Virgo,X2139,5,0,0
TRAIN_00029,2024-10,Data Analytics,Google Ads,UNLP,Otra,Cordoba,29,Freelance,Ninguna,8.0,Tarjeta credito,12,244000,10,2,,SR03,12.8,1,1,1,10,4,4,,0,1,Upskiller,3,Jueves,Mobile,Chrome,Azul,Sagitario,X1184,8,1,1
TRAIN_00030,2024-11,Python,Instagram Ads,Otra,Psicologia,CABA,26,Freelance,Basica,10.1,Tarjeta credito,3,169000,25,8,Medio,SR07,14.8,1,0,1,10,4,2,6.2,1,1,Upskiller,2,Miercoles,Tablet,Edge,Naranja,Piscis,X1745,0,0,0
TRAIN_00031,2025-03,Web Dev,TikTok Ads,UTN,Economia,GBA Norte,24,Busca trabajo,Basica,5.9,Tarjeta debito,9,153000,35,23,Bajo,SR07,18.1,1,0,0,6,3,3,9.9,1,0,Upskiller,5,Martes,Desktop,Otro,Violeta,Acuario,X6421,1,0,0
TRAIN_00032,2025-03,Data Analytics,Google Ads,UADE,Cs Datos,Cordoba,28,Part-time,Ninguna,9.8,Tarjeta credito,3,223000,15,7,Medio,SR02,6.5,1,0,1,6,3,1,7.5,0,0,Desempleado activo,2,Viernes,Desktop,Edge,Verde,Capricornio,X5095,2,0,0
TRAIN_00033,2024-09,Python,Google Ads,UTN,Economia,GBA Sur,18,Part-time,Basica,9.7,Efectivo,4,205000,10,16,Alto,SR02,1.3,1,0,0,6,1,0,,0,0,Explorer,0,Viernes,Mobile,Chrome,Gris,Aries,X1967,2,0,1
TRAIN_00034,2025-02,Data Analytics,Evento,UTN,Cs Datos,CABA,35,Busca trabajo,Intermedia,9.7,Mercado Pago,12,188000,30,23,Bajo,SR11,18.6,1,0,0,4,1,0,8.4,0,0,Desempleado activo,4,Jueves,Desktop,Chrome,Verde,Escorpio,X4871,6,0,0
TRAIN_00035,2024-10,Web Dev,Web Organico,UBA,Administracion,GBA Oeste,21,No trabaja,Intermedia,15.3,Tarjeta credito,9,171000,25,11,Medio,SR02,3.6,0,0,1,10,4,3,,0,1,Desempleado activo,0,Viernes,Mobile,Chrome,Naranja,Tauro,X3077,0,0,0
