cancion,artista,energia,bailabilidad,acustica,duracion_seg,popularidad
Motor en Vivo,Reina Mota,60.0,42.0,37.0,351.0,71.0
Neón Eterno,Kraft B,90.0,61.0,5.0,375.0,30.0
Ritmo 2.0,Los del Sur,82.0,85.0,14.0,209.0,75.0
Fuego Azul,Los del Sur,76.0,95.0,0.0,197.0,74.0
Salto Azul,Kraft B,92.0,53.0,4.0,329.0,35.0
Vector Eterno,Nébula,95.0,53.0,4.0,350.0,50.0
Circuito Salvaje,Helix,91.0,66.0,4.0,370.0,31.0
Vértigo Infinito,Sierra,68.0,40.0,31.0,270.0,80.0
Niebla Eterno,Valen Acústico,15.0,40.0,84.0,229.0,57.0
Acero Azul,Banda Norte,66.0,43.0,28.0,310.0,68.0
Salto de Noche,Kraft B,94.0,60.0,0.0,375.0,26.0
Ruta Eterno,Sierra,76.0,36.0,17.0,242.0,50.0
Motor Azul,Banda Norte,63.0,31.0,18.0,257.0,50.0
Circuito Infinito,Andrómeda Club,93.0,51.0,0.0,331.0,34.0
Pulso Total,Helix,89.0,57.0,2.0,295.0,54.0
Fiesta 2.0,DJ Pampa,84.0,97.0,15.0,192.0,69.0
Vértigo Salvaje,Banda Norte,77.0,47.0,38.0,276.0,60.0
Fuego 2.0,Kiara B,83.0,86.0,9.0,187.0,77.0
Ruta de Noche,Sierra,71.0,48.0,34.0,283.0,47.0
Vértigo en Vivo,Banda Norte,66.0,40.0,26.0,301.0,51.0
Café Azul,El Faro,28.0,35.0,76.0,231.0,50.0
Baila Azul,Mara Flow,85.0,88.0,8.0,185.0,78.0
Verano Eterno,DJ Pampa,87.0,97.0,4.0,181.0,72.0
Asfalto Total,Los Voltio,61.0,36.0,36.0,273.0,57.0
Motor 2.0,Banda Norte,61.0,32.0,32.0,303.0,56.0
Hogar 2.0,Hermanos Paz,27.0,38.0,86.0,221.0,74.0
Pulso Eterno,Helix,93.0,50.0,5.0,359.0,37.0
Fiesta Azul,La Conexión,84.0,84.0,10.0,205.0,84.0
Fase Eterno,Andrómeda Club,96.0,52.0,2.0,321.0,41.0
Fuego Azul,Mara Flow,71.0,91.0,8.0,186.0,71.0
Fiesta Salvaje,La Conexión,76.0,94.0,5.0,183.0,78.0
Despacio de Noche,Valen Acústico,19.0,49.0,73.0,204.0,40.0
Neón 2.0,Nébula,95.0,46.0,1.0,358.0,44.0
Prisma Total,Kraft B,97.0,50.0,4.0,374.0,58.0
Verano Salvaje,Kiara B,84.0,86.0,8.0,192.0,78.0
Noche 2.0,Kiara B,84.0,86.0,16.0,182.0,79.0
Hogar Azul,Clara Sol,15.0,40.0,89.0,240.0,54.0
Cromo en Vivo,Karma Eléctrico,64.0,40.0,29.0,262.0,59.0
Fuego Total,La Conexión,78.0,92.0,3.0,174.0,72.0
Despacio de Noche,Valen Acústico,33.0,34.0,93.0,240.0,54.0
Café Infinito,Clara Sol,26.0,34.0,81.0,219.0,58.0
Domingo en Vivo,Río Manso,28.0,38.0,78.0,235.0,41.0
Motor Azul,Los Voltio,67.0,44.0,8.0,258.0,59.0
Raíz Total,El Faro,11.0,39.0,87.0,199.0,45.0
Madera Salvaje,El Faro,19.0,37.0,82.0,223.0,71.0
Niebla Infinito,Río Manso,31.0,33.0,87.0,222.0,63.0
Fiesta de Noche,Los del Sur,83.0,85.0,16.0,190.0,70.0
Hogar en Vivo,Clara Sol,21.0,23.0,86.0,212.0,71.0
Hogar Infinito,Río Manso,28.0,30.0,82.0,254.0,64.0
Circuito Eterno,Helix,91.0,53.0,5.0,358.0,44.0
Ruta Total,Karma Eléctrico,73.0,40.0,35.0,252.0,92.0
Motor Total,Karma Eléctrico,63.0,42.0,28.0,339.0,44.0
Calor Eterno,Kiara B,84.0,90.0,5.0,193.0,71.0
Fiesta de Noche,Los del Sur,84.0,90.0,11.0,166.0,80.0
Luna Azul,Kiara B,80.0,91.0,10.0,194.0,76.0
Noche Eterno,Kiara B,78.0,92.0,8.0,194.0,66.0
