usuario_id,anio_nacimiento,ciudad,ingreso_estimado,fecha_alta,dias_desde_ultimo_pedido,gasto_restaurantes,gasto_mercados,gasto_bebidas,gasto_farmacia,gasto_kioscos,gasto_premium,pedidos_con_descuento,pedidos_app,pedidos_web,pedidos_local,visitas_app_mes,cupon_hot_sale,cupon_dia_del_amigo,cupon_cyber_monday,cupon_navidad,cupon_finde_largo,reclamo,respuesta_ultima_campania
1402,1954,Córdoba,1674775.0,2024-09-11,2,496000,460000,60000,189000,36000,12000,3,8,4,6,3,0,0,0,0,0,0,0
10623,1961,Córdoba,1208250.0,2025-11-15,25,28000,4000,0,0,0,0,1,0,1,3,5,0,0,0,0,0,0,0
182,1946,GBA,1103100.0,2025-05-11,23,284000,55000,6000,0,0,52000,4,2,6,5,8,0,0,0,0,0,0,0
5991,1949,Córdoba,1203750.0,2025-06-08,57,173000,39000,2000,3000,2000,47000,3,1,5,4,7,0,0,0,0,0,0,0
9904,1956,CABA,1784775.0,2025-03-29,14,336000,274000,123000,46000,123000,141000,5,5,6,12,3,0,0,0,0,0,0,0
500,1977,CABA,2421900.0,2025-08-06,22,908000,735000,194000,40000,43000,21000,1,7,7,9,2,1,0,0,1,1,0,1
6457,1976,CABA,1622300.0,2026-05-29,9,527000,230000,24000,32000,24000,65000,2,4,6,12,4,0,0,0,0,0,0,0
9999,1965,CABA,1881900.0,2024-09-27,5,610000,125000,42000,137000,105000,21000,1,4,9,9,5,0,0,0,0,0,0,0
967,1976,CABA,1151225.0,2025-07-21,20,342000,112000,14000,19000,9000,19000,10,2,5,9,7,0,0,0,0,0,0,1
4554,1965,CABA,1175225.0,2025-10-01,4,171000,73000,10000,59000,45000,90000,4,2,3,8,4,0,0,0,0,0,0,0
702,1975,Rosario,1192050.0,2025-02-15,4,162000,83000,57000,97000,61000,61000,4,3,4,8,5,0,0,0,0,0,0,0
10659,1979,Rosario,187500.0,2025-05-07,60,2000,11000,8000,3000,8000,21000,4,2,3,2,7,0,0,0,0,0,0,0
143,1970,CABA,1530225.0,2025-08-25,22,466000,224000,49000,119000,0,99000,1,3,5,4,2,0,0,0,0,0,0,0
4491,1949,Córdoba,1571125.0,2024-10-01,22,1099000,45000,0,0,0,34000,11,4,3,10,8,0,0,0,1,0,0,0
3011,1965,CABA,1728475.0,2026-01-27,37,86000,75000,15000,33000,12000,6000,1,1,4,5,4,0,0,0,0,0,0,0
1745,1962,GBA,2142400.0,2025-05-03,29,714000,395000,0,116000,76000,12000,1,6,4,9,1,0,0,0,0,0,0,1
2711,1976,Córdoba,764000.0,2025-06-27,84,9000,5000,5000,4000,1000,7000,1,0,1,3,7,0,0,0,0,0,0,0
7381,1968,CABA,1892325.0,2024-12-06,15,797000,293000,97000,72000,153000,30000,1,4,11,6,4,1,0,0,1,1,0,1
574,1964,CABA,1063075.0,2026-04-23,72,14000,11000,26000,3000,36000,35000,1,1,1,4,2,0,0,0,0,0,0,0
1137,1964,CABA,2031150.0,2025-12-29,7,398000,537000,156000,61000,190000,37000,1,5,4,7,1,1,0,1,0,0,0,0
577,1976,Rosario,672675.0,2025-08-20,13,9000,7000,3000,0,1000,2000,2,0,1,3,7,0,0,0,0,0,0,0
9080,1972,GBA,964450.0,2025-06-22,31,38000,22000,3000,3000,4000,3000,3,0,3,3,8,0,0,0,0,0,0,0
3856,1960,CABA,1584525.0,2024-10-05,7,571000,142000,50000,33000,50000,159000,4,5,4,13,2,0,0,0,0,0,0,0
7375,1976,CABA,1284225.0,2024-10-25,8,297000,79000,11000,0,7000,182000,2,2,8,4,8,0,0,0,0,0,0,0
7786,1986,GBA,749975.0,2025-02-13,16,68000,59000,5000,10000,7000,11000,4,1,3,4,8,0,0,0,0,0,0,0
6233,1976,CABA,1649775.0,2024-09-07,4,507000,364000,47000,25000,19000,9000,3,5,9,10,7,0,0,0,0,0,0,0
7212,1966,CABA,1119850.0,2026-06-08,4,54000,7000,0,0,0,4000,1,0,2,3,6,0,0,0,0,0,0,0
7023,1953,GBA,1155775.0,2024-11-26,66,189000,55000,5000,0,2000,12000,4,1,6,4,9,0,0,0,0,0,0,0
4646,1951,Rosario,1962425.0,2025-12-01,24,207000,447000,0,75000,26000,223000,1,7,5,12,2,1,0,0,0,0,0,0
2928,1975,GBA,1315350.0,2024-12-01,26,789000,142000,9000,12000,0,38000,2,4,2,8,8,0,0,0,0,0,0,0
10971,1977,CABA,944350.0,2024-09-03,16,173000,107000,2000,7000,8000,176000,4,2,7,3,9,0,0,1,0,0,1,1
4817,1956,CABA,557600.0,2024-08-04,55,3000,7000,4000,0,2000,2000,1,0,1,2,8,0,0,0,0,0,0,0
5177,1974,Córdoba,1462350.0,2025-12-12,23,298000,68000,0,4000,7000,19000,2,2,6,6,6,0,0,0,0,0,0,0
1160,1970,CABA,331500.0,2025-08-23,23,9000,17000,2000,10000,4000,7000,4,0,3,3,8,0,0,0,0,0,0,0
1204,1970,GBA,1688400.0,2025-05-22,23,1253000,447000,71000,23000,0,35000,3,5,11,11,8,1,0,0,0,0,0,0
9166,1968,CABA,1599175.0,2025-08-09,14,387000,141000,35000,73000,84000,162000,3,4,4,12,2,0,0,0,0,0,0,0
10424,1968,CABA,1898050.0,2025-12-09,25,265000,553000,23000,224000,138000,92000,1,4,4,9,1,0,0,0,0,0,0,0
4329,1984,GBA,474700.0,2026-05-23,24,6000,6000,1000,2000,0,1000,2,0,1,3,7,0,0,0,0,0,0,0
3726,1986,GBA,858000.0,2026-02-16,38,4000,9000,0,3000,1000,0,1,0,1,2,8,0,0,0,0,0,0,0
291,1970,CABA,1823500.0,2025-06-19,12,182000,298000,149000,162000,74000,116000,1,3,3,6,1,0,0,0,0,0,0,0
8132,1975,GBA,1515775.0,2025-04-05,16,565000,65000,6000,0,6000,19000,5,2,9,8,7,0,0,0,1,0,0,0
8720,1978,Rosario,,2024-08-12,3,32000,1607000,4000,12000,2000,22000,0,0,0,1,0,0,0,0,1,0,0,0
4500,1991,GBA,1717050.0,2025-10-06,7,919000,505000,30000,99000,0,45000,1,9,4,10,2,0,0,0,0,0,0,0
3130,1964,CABA,467525.0,2025-06-04,64,12000,2000,6000,10000,4000,10000,4,0,2,4,5,0,0,0,0,0,0,0
1993,1949,GBA,1465175.0,2024-12-23,16,867000,86000,0,0,0,19000,3,3,2,9,8,0,0,0,1,0,0,0
2747,1988,GBA,1688650.0,2024-08-31,6,864000,768000,38000,150000,134000,172000,1,10,4,5,3,0,0,0,0,0,0,0
5675,1960,GBA,1265275.0,2024-10-04,10,459000,24000,0,6000,0,4000,6,5,4,7,6,0,0,0,1,0,0,0
2066,1949,CABA,970575.0,2024-08-30,14,70000,11000,8000,2000,0,23000,1,1,2,3,6,0,0,0,0,0,0,0
8475,1973,GBA,3931075.0,2026-03-01,1,20000,1582000,2000,1000,2000,1000,15,22,0,0,0,0,0,0,0,0,0,0
425,1985,CABA,1383925.0,2025-02-19,13,374000,116000,25000,84000,64000,64000,3,2,6,11,5,0,0,0,0,0,0,0
10680,1986,CABA,830875.0,2026-02-05,39,45000,16000,1000,2000,0,6000,1,0,3,3,7,0,0,0,0,0,0,0
1577,1946,CABA,1964225.0,2026-02-19,5,558000,622000,175000,207000,79000,95000,1,6,4,4,1,0,0,0,0,1,0,1
9478,1985,CABA,1662575.0,2024-08-14,18,91000,128000,3000,65000,64000,50000,2,3,4,6,3,0,0,0,0,0,0,0
8780,1950,GBA,1482300.0,2025-06-13,11,378000,68000,14000,19000,14000,14000,2,5,3,8,3,0,0,0,0,0,0,0
810,1975,CABA,1854750.0,2026-05-12,23,151000,86000,91000,168000,81000,64000,2,2,4,11,2,0,0,0,0,0,0,0
7129,1962,GBA,1367325.0,2025-02-17,3,686000,142000,26000,23000,17000,35000,8,4,6,13,6,0,0,0,0,0,0,0
6605,1944,GBA,1390350.0,2025-11-27,21,504000,131000,0,8000,13000,26000,1,4,9,6,7,0,0,0,1,0,0,0
6682,1973,Rosario,474450.0,2024-12-11,98,2000,1000,7000,4000,8000,15000,1,0,1,3,8,0,0,0,0,0,0,0
10323,1952,CABA,1235325.0,2025-10-25,26,205000,41000,2000,3000,7000,46000,2,2,4,5,5,0,0,0,0,0,0,0
3599,1970,CABA,1592100.0,2024-11-26,2,575000,428000,93000,208000,80000,80000,3,4,8,8,5,0,0,0,0,0,0,0
4756,1952,Rosario,1599950.0,2025-12-20,25,176000,818000,33000,0,29000,112000,1,6,7,11,4,0,0,0,0,0,0,1
3334,1951,CABA,2366050.0,2026-02-12,10,879000,797000,143000,106000,143000,143000,0,7,5,9,1,1,0,0,0,1,0,0
5346,1973,Rosario,588975.0,2025-07-03,75,25000,19000,0,7000,5000,23000,3,0,3,3,7,0,0,0,0,0,0,0
716,1949,GBA,1697775.0,2026-05-22,1,529000,356000,28000,63000,0,0,3,7,6,11,3,0,0,0,0,0,0,0
4188,1957,CABA,921600.0,2024-08-13,84,204000,39000,0,17000,5000,89000,3,2,5,4,8,0,0,0,0,0,0,1
2326,1990,CABA,473225.0,2025-02-16,71,32000,8000,4000,23000,0,18000,1,0,1,4,6,0,0,0,0,0,0,0
7787,1960,CABA,1570175.0,2024-08-31,10,526000,135000,21000,10000,28000,99000,3,3,5,12,5,0,0,0,0,0,0,0
10637,1964,CABA,1020000.0,2025-01-01,75,24000,27000,30000,8000,0,10000,2,0,3,3,7,0,0,0,0,0,1,0
10827,1967,GBA,923675.0,2024-08-07,15,88000,21000,1000,4000,3000,29000,4,0,3,4,9,0,0,0,0,0,0,0
5726,1983,Córdoba,794700.0,2026-03-20,67,16000,23000,8000,0,7000,6000,3,0,3,4,5,0,0,0,0,0,1,0
6575,1981,CABA,1409650.0,2024-10-27,22,230000,214000,32000,13000,48000,75000,8,1,9,7,9,0,0,0,0,0,0,0
8726,1964,Rosario,1042825.0,2026-04-29,14,77000,44000,10000,10000,8000,25000,5,1,3,4,6,0,0,0,0,0,0,0
7408,1952,GBA,1363725.0,2026-03-03,37,216000,6000,0,0,2000,9000,2,1,5,4,7,0,0,0,0,0,0,0
4607,1959,CABA,1784175.0,2025-08-23,10,227000,389000,21000,42000,23000,75000,1,5,4,7,2,0,0,0,0,0,0,0
6310,1978,CABA,825975.0,2025-09-09,19,30000,12000,8000,8000,8000,12000,1,0,2,4,5,0,0,0,0,0,0,0
274,1973,CABA,871325.0,2025-12-23,56,9000,15000,3000,2000,3000,2000,2,0,2,3,6,0,0,0,0,0,0,0
4220,1970,GBA,1497300.0,2025-11-02,70,73000,13000,1000,0,0,0,1,1,2,3,3,0,0,0,0,0,0,0
6460,1982,CABA,717950.0,2025-07-13,68,12000,6000,8000,11000,4000,16000,2,0,2,3,8,0,0,0,0,0,0,0
1407,1986,Rosario,510625.0,2024-10-29,28,4000,5000,16000,3000,12000,17000,2,0,2,3,7,0,0,0,0,0,0,0
916,1972,GBA,1041100.0,2026-05-09,82,20000,4000,0,2000,3000,2000,2,0,1,3,3,0,0,0,0,0,0,0
1419,1950,CABA,850650.0,2025-08-05,59,18000,15000,8000,12000,6000,17000,3,1,2,3,5,0,0,0,0,0,0,0
9064,1982,CABA,1727725.0,2024-11-09,18,823000,459000,29000,124000,25000,95000,1,6,6,7,4,0,0,0,0,1,0,1
2075,1969,CABA,1811500.0,2025-11-14,32,377000,540000,30000,80000,10000,10000,1,5,3,7,1,0,0,0,0,0,0,0
2525,1974,GBA,960250.0,2024-09-14,29,153000,123000,64000,116000,64000,14000,2,2,5,9,6,0,0,0,0,0,0,1
544,1954,CABA,1570500.0,2025-05-11,4,398000,265000,61000,138000,61000,53000,1,4,3,6,1,0,0,0,0,0,0,0
1998,1976,CABA,942425.0,2026-02-07,24,34000,21000,4000,11000,6000,8000,1,1,2,3,6,0,0,0,0,0,0,0
9135,1950,CABA,680075.0,2024-08-06,87,13000,21000,0,4000,2000,24000,2,1,1,2,8,0,0,0,0,0,0,0
3006,1976,CABA,774800.0,2025-04-22,85,17000,14000,3000,7000,0,2000,1,0,1,3,7,0,0,0,0,0,0,0
6211,1976,GBA,934875.0,2026-05-02,11,18000,9000,1000,0,0,11000,1,0,1,3,6,0,0,0,0,0,0,0
7247,1960,CABA,1197900.0,2024-11-22,31,505000,26000,0,0,0,75000,5,4,7,6,6,0,0,0,1,0,0,0
1307,1978,CABA,1049650.0,2026-02-09,31,27000,8000,3000,8000,5000,12000,3,0,3,4,4,0,0,0,0,0,0,0
9256,1971,CABA,1458750.0,2025-01-04,16,493000,206000,80000,116000,26000,80000,4,3,8,12,6,0,0,0,0,0,0,0
2875,1978,CABA,1675575.0,2026-03-04,1,444000,382000,8000,11000,44000,17000,1,7,3,13,2,0,0,0,0,0,1,0
8492,1978,CABA,1885925.0,2025-11-09,8,795000,545000,58000,95000,0,0,1,4,8,10,6,1,0,0,0,0,0,0
3855,1963,CABA,560475.0,2025-04-18,23,30000,47000,21000,19000,3000,42000,1,2,3,2,8,0,0,0,0,0,0,0
6983,1950,Córdoba,951350.0,2026-05-01,18,23000,17000,1000,2000,2000,0,2,0,2,3,7,0,0,0,0,0,0,0
5794,1974,GBA,1159350.0,2026-03-17,28,408000,21000,0,0,0,17000,3,1,7,7,8,1,0,0,1,0,0,1
7141,1986,Córdoba,547200.0,2024-12-29,22,88000,46000,3000,2000,10000,64000,4,1,5,2,10,0,0,0,0,0,0,1
25,1958,CABA,1628700.0,2024-11-16,26,460000,422000,12000,33000,35000,153000,2,6,6,7,4,0,0,0,0,0,0,0
4865,1974,Córdoba,1334175.0,2025-08-31,9,229000,140000,3000,10000,7000,11000,7,1,5,8,7,0,0,0,0,0,0,1
3967,1971,GBA,1973275.0,2025-10-25,6,331000,170000,152000,58000,197000,35000,1,8,2,13,1,0,0,0,0,0,0,0
9855,1952,GBA,1550000.0,2025-08-25,21,899000,101000,0,0,0,20000,1,6,6,13,4,1,0,0,0,0,0,0
1321,1974,CABA,651675.0,2025-11-04,32,22000,18000,2000,0,2000,12000,3,0,3,3,8,0,0,0,0,0,0,0
5517,1969,CABA,632325.0,2025-09-15,67,15000,11000,2000,0,0,9000,1,1,1,2,8,0,0,0,0,0,0,0
3066,1975,GBA,1547625.0,2026-02-04,77,167000,43000,2000,6000,0,13000,2,2,4,4,5,0,0,0,0,0,0,0
2561,1966,CABA,1595250.0,2024-11-11,16,977000,253000,12000,16000,12000,101000,4,3,4,12,8,0,0,0,1,0,0,0
11100,1972,CABA,1295325.0,2025-04-11,80,51000,7000,1000,0,2000,2000,2,0,2,3,7,0,0,0,0,0,0,0
6940,1966,GBA,1168350.0,2025-10-21,28,100000,39000,1000,6000,1000,76000,4,2,3,3,6,0,0,1,0,0,0,0
5790,1985,CABA,778950.0,2025-01-27,19,25000,16000,0,20000,6000,5000,2,0,2,3,8,0,0,0,0,0,0,0
9624,1958,GBA,1637200.0,2026-06-13,26,603000,207000,18000,36000,45000,54000,1,4,3,6,1,0,0,0,0,0,0,0
4501,1965,Córdoba,1747050.0,2025-11-10,1,292000,635000,127000,132000,127000,165000,1,7,3,9,1,0,0,0,0,0,0,0
6072,1970,Córdoba,1883625.0,2025-02-02,28,918000,842000,38000,99000,57000,133000,1,8,5,6,3,1,0,0,0,0,0,1
1685,1967,GBA,1574525.0,2025-03-17,20,796000,590000,44000,38000,14000,0,1,5,4,13,3,0,0,0,1,0,0,0
6730,1954,CABA,974950.0,2024-11-03,11,34000,14000,0,0,1000,5000,3,0,2,3,8,0,0,0,0,0,1,0
1072,1965,GBA,1019000.0,2025-08-30,13,70000,17000,0,0,0,6000,2,1,2,3,6,0,0,0,0,0,0,0
7373,1952,GBA,1165250.0,2024-10-29,17,96000,96000,22000,33000,12000,43000,6,1,4,6,6,0,0,0,0,0,0,1
2453,1960,CABA,1570175.0,2024-08-31,32,526000,135000,21000,10000,28000,99000,3,3,5,12,5,0,0,0,0,0,0,0
2295,1954,GBA,1566750.0,2026-02-02,2,539000,92000,46000,80000,30000,38000,1,3,5,13,3,0,0,0,0,0,0,0
9460,1963,CABA,560475.0,2025-04-18,95,30000,47000,21000,19000,3000,42000,1,2,3,2,8,0,0,0,0,0,0,0
10858,1975,CABA,1913300.0,2025-09-09,21,355000,177000,138000,90000,30000,30000,4,5,9,7,5,0,0,0,0,0,0,0
6147,1971,CABA,645450.0,2024-10-18,16,5000,8000,2000,2000,2000,9000,1,1,0,2,7,0,0,0,0,0,0,0
4324,1989,CABA,1059675.0,2024-10-29,4,235000,235000,4000,19000,0,191000,5,1,8,7,8,0,0,0,0,0,0,0
11010,1984,GBA,406725.0,2025-08-30,36,19000,18000,1000,3000,3000,0,3,0,3,3,8,0,0,0,0,0,0,0
2870,1973,CABA,1227350.0,2024-09-21,29,376000,38000,8000,11000,0,69000,5,3,6,6,6,0,0,0,0,0,0,0
4093,1975,Córdoba,1331325.0,2025-02-11,28,216000,57000,9000,20000,9000,125000,7,3,4,5,5,0,0,0,0,0,0,0
873,1949,Córdoba,1571125.0,2024-10-01,17,1099000,45000,0,0,0,34000,11,4,3,10,8,0,0,0,1,0,0,1
9653,1975,CABA,894925.0,2024-10-16,62,27000,14000,1000,4000,1000,21000,2,0,2,3,8,0,0,0,0,0,0,0
5758,1982,CABA,1629225.0,2026-01-14,6,1074000,69000,0,0,0,46000,1,4,10,13,6,1,1,1,0,1,0,1
5922,1974,GBA,1008600.0,2025-10-13,29,210000,6000,0,0,0,2000,2,1,4,5,7,0,0,0,0,0,0,0
6690,1966,Córdoba,954475.0,2025-03-14,7,38000,22000,2000,4000,4000,20000,4,1,3,3,7,0,0,0,0,0,0,0
8162,1956,Córdoba,366525.0,2025-01-01,38,4000,11000,2000,6000,1000,2000,1,0,1,3,6,0,0,0,0,0,0,0
3921,1952,Rosario,711425.0,2024-10-28,97,24000,108000,29000,29000,1000,14000,1,1,4,4,8,0,0,0,0,0,0,0
9665,1957,GBA,1355925.0,2025-04-27,6,267000,30000,0,4000,3000,57000,4,2,5,5,6,0,0,0,0,0,0,0
11101,1991,CABA,2247275.0,2025-04-15,8,412000,132000,28000,59000,22000,183000,1,6,11,8,4,0,0,0,0,1,0,0
10172,1988,CABA,1716375.0,2024-08-10,19,456000,832000,118000,75000,19000,38000,1,5,4,11,3,0,0,0,0,0,0,0
7019,1963,CABA,1360350.0,2025-01-23,21,109000,16000,26000,24000,18000,18000,4,1,3,5,4,0,0,0,0,0,0,0
5389,1964,CABA,1223000.0,2025-10-20,28,238000,68000,10000,8000,17000,6000,3,2,6,5,7,0,0,0,1,0,0,0
9596,1980,GBA,1632375.0,2025-12-23,6,365000,117000,110000,34000,32000,6000,1,3,3,13,2,0,0,0,0,0,0,0
3628,1987,Rosario,375950.0,2025-01-29,26,4000,11000,12000,19000,8000,26000,2,1,2,2,9,0,0,0,0,0,0,0
2589,1972,CABA,668975.0,2026-02-07,92,25000,16000,5000,8000,3000,2000,2,1,2,3,6,0,0,0,0,0,0,0
2931,1978,CABA,1796175.0,2024-09-21,19,737000,106000,63000,55000,21000,210000,0,7,6,9,3,1,0,0,0,0,0,0
2736,1978,CABA,1845175.0,2025-01-02,17,366000,156000,78000,71000,124000,54000,2,5,5,11,2,0,0,0,0,0,0,0
8953,1965,Córdoba,894775.0,2025-05-06,79,27000,5000,0,0,0,3000,2,0,1,3,8,0,0,0,0,0,0,0
1473,1960,Rosario,1195575.0,2025-07-23,36,53000,5000,1000,2000,1000,10000,2,0,2,3,8,0,0,0,0,0,0,0
9323,1949,Córdoba,1247800.0,2024-09-07,27,520000,223000,49000,32000,8000,42000,4,5,10,7,8,0,0,1,0,0,0,1
2995,1957,Córdoba,1665900.0,2025-08-17,25,291000,689000,10000,84000,10000,0,1,4,3,9,1,0,0,0,0,0,0,0
7453,1954,CABA,903250.0,2025-02-02,32,157000,127000,56000,68000,43000,37000,6,8,3,4,4,0,0,1,0,0,0,1
640,1951,CABA,1432600.0,2025-03-11,15,356000,329000,17000,138000,80000,106000,2,6,7,10,5,0,0,0,0,0,0,0
24,1960,Córdoba,428600.0,2026-02-15,63,18000,19000,2000,0,2000,6000,5,0,3,4,7,0,0,0,0,0,0,0
503,1985,Córdoba,513975.0,2025-03-12,12,13000,29000,0,3000,1000,7000,2,0,2,3,8,0,0,0,0,0,0,0
10446,1957,GBA,2050425.0,2024-11-07,14,184000,446000,23000,30000,23000,23000,1,4,5,7,2,1,0,0,1,1,0,1
1142,1953,GBA,1392675.0,2025-12-22,23,208000,82000,66000,30000,7000,35000,2,2,3,9,3,0,0,0,0,0,0,0
4692,1976,CABA,187500.0,2024-08-01,11,7000,12000,7000,13000,0,32000,5,1,4,2,9,0,0,1,0,0,0,1
9286,1960,Córdoba,2078775.0,2024-10-10,9,407000,100000,74000,120000,28000,18000,1,9,5,4,3,0,0,0,0,0,0,0
2963,1979,CABA,1887675.0,2026-05-02,5,709000,374000,80000,104000,93000,80000,1,6,8,6,3,0,0,0,0,0,0,0
1506,1975,CABA,1054000.0,2025-06-28,39,48000,45000,15000,3000,9000,20000,4,1,2,4,6,0,0,0,0,0,0,1
4611,1970,CABA,2636775.0,2025-01-21,12,1009000,104000,21000,202000,181000,207000,0,8,9,13,3,1,0,0,0,1,0,1
10448,1956,CABA,1174950.0,2024-10-22,89,172000,86000,6000,45000,41000,27000,5,3,5,5,7,0,0,1,0,0,0,0
7892,1969,CABA,464725.0,2025-01-02,34,6000,25000,12000,15000,4000,13000,2,1,2,3,7,0,0,0,0,0,0,0
8164,1978,GBA,2054250.0,2025-11-25,33,1023000,651000,55000,49000,93000,37000,1,6,5,7,2,0,0,0,0,0,0,0
375,1954,CABA,1919325.0,2025-02-25,33,516000,449000,33000,86000,56000,16000,1,2,2,11,1,0,0,0,0,0,0,0
6431,1964,GBA,1143975.0,2025-02-23,73,42000,18000,0,3000,1000,4000,2,0,2,3,7,0,0,0,0,0,0,0
6646,1984,CABA,413225.0,2026-03-01,5,3000,5000,0,13000,0,1000,1,0,1,3,6,0,0,0,0,0,0,0
10091,1956,CABA,1505750.0,2025-05-20,16,520000,367000,81000,39000,20000,40000,2,3,6,6,5,0,0,0,0,0,0,0
7327,1959,GBA,918300.0,2025-12-29,77,21000,3000,1000,10000,5000,7000,3,1,1,4,2,0,0,0,0,0,0,0
11004,1893,Rosario,1504550.0,2026-05-17,55,8000,5000,0,7000,0,2000,1,0,1,2,4,0,0,0,0,0,0,0
5527,1987,CABA,560850.0,2025-02-13,10,4000,11000,13000,3000,12000,15000,2,0,2,3,8,0,0,0,0,0,0,0
2886,1971,Córdoba,1857250.0,2025-08-12,28,1121000,72000,12000,0,0,12000,4,8,10,10,6,1,0,0,1,0,0,0
9120,1962,CABA,1664125.0,2024-12-05,28,747000,161000,40000,65000,10000,42000,4,2,4,9,8,0,0,0,0,0,0,0
7300,1952,CABA,1728550.0,2026-06-29,2,448000,34000,4000,6000,4000,39000,3,1,8,7,5,0,0,0,1,0,0,0
9216,1971,CABA,894700.0,2026-01-23,95,23000,11000,1000,3000,2000,4000,2,0,2,3,6,0,0,0,0,0,0,0
